RowNumber,StudentId,StudentScore,School,Gender,Age,tenure,previousScore,sportsParticipated,Sibling,IsRegular,everFailed,IsFailed
45,10008127,668,Navodaya Vidyalaya,girl,9,4,339,2,0,1,0,1
46,10039014,433,Kendriya Vidyalaya,girl,10,3,658,2,0,0,0,1
47,10037121,853,Kendriya Vidyalaya,girl,9,2,681,5,1,0,1,1
48,10017350,377,Kendriya Vidyalaya,girl,14,4,394,0,0,0,0,1
49,10046056,722,Kendriya Vidyalaya,boy,6,4,639,3,0,0,1,1
50,10008557,858,Kendriya Vidyalaya,girl,13,4,659,7,1,1,1,0
51,10033726,543,Kendriya Vidyalaya,boy,7,2,781,1,1,1,0,1
52,10043789,321,Kendriya Vidyalaya,boy,9,2,760,2,0,0,1,0
53,10006770,253,Govt Primary School,girl,11,2,528,0,0,0,1,1
54,10023812,642,Kendriya Vidyalaya,boy,12,4,393,4,0,0,0,0
55,10009617,355,Kendriya Vidyalaya,boy,8,4,607,3,0,0,1,1
56,10019687,528,Govt Primary School,boy,10,2,759,3,0,1,1,0
57,10040778,436,Govt Primary School,boy,6,3,785,7,0,0,0,0
58,10033397,759,Kendriya Vidyalaya,boy,6,4,551,6,1,0,0,1
59,10049018,380,Navodaya Vidyalaya,girl,6,3,762,5,0,0,0,1
60,10023751,332,Govt Primary School,boy,8,3,524,7,1,0,1,0
61,10019302,700,Kendriya Vidyalaya,boy,13,4,246,5,0,0,0,1
62,10003168,525,Kendriya Vidyalaya,girl,9,2,497,7,1,1,0,0
63,10046112,598,Navodaya Vidyalaya,boy,13,3,765,0,1,1,1,1
64,10007686,310,Navodaya Vidyalaya,boy,7,2,252,7,1,1,0,0
65,10045466,500,Kendriya Vidyalaya,boy,14,3,598,6,1,1,0,1
66,10043034,263,Kendriya Vidyalaya,girl,6,3,815,1,1,0,1,0
67,10043522,885,Kendriya Vidyalaya,girl,7,4,517,2,1,0,0,0
68,10034136,437,Kendriya Vidyalaya,boy,10,3,213,3,0,1,1,1
69,10048561,498,Kendriya Vidyalaya,girl,14,2,948,7,0,1,1,0
70,10005505,244,Govt Primary School,girl,9,2,529,6,0,0,1,1
71,10015472,748,Kendriya Vidyalaya,boy,7,4,660,7,0,0,1,0
72,10044622,284,Govt Primary School,boy,10,2,739,6,1,0,1,1
73,10011171,876,Navodaya Vidyalaya,girl,9,3,544,6,1,1,0,0
74,10013296,638,Kendriya Vidyalaya,girl,13,4,960,4,0,0,1,1
75,10027505,467,Govt Primary School,boy,13,4,954,5,1,1,0,1
76,10049377,272,Govt Primary School,girl,10,2,305,7,0,1,0,1
77,10006451,400,Govt Primary School,boy,9,2,798,6,0,1,0,1
78,10037321,758,Govt Primary School,girl,12,4,783,6,1,0,1,1
79,10046163,340,Navodaya Vidyalaya,boy,12,4,512,5,1,0,0,0
80,10041683,974,Kendriya Vidyalaya,girl,13,3,950,7,0,1,0,1
81,10031604,397,Govt Primary School,girl,12,2,277,2,0,1,0,0
82,10041893,819,Govt Primary School,girl,11,4,389,7,0,1,0,1
83,10036861,387,Govt Primary School,girl,11,3,425,4,1,1,0,1
84,10018226,687,Govt Primary School,girl,13,4,463,4,0,1,1,1
85,10039030,571,Govt Primary School,girl,12,3,533,7,0,0,0,1
86,10037063,921,Navodaya Vidyalaya,girl,9,2,975,0,0,1,0,0
87,10009818,474,Navodaya Vidyalaya,boy,8,2,350,2,0,0,0,1
88,10001558,380,Govt Primary School,boy,13,2,379,6,1,1,1,1
89,10011429,306,Govt Primary School,girl,12,2,991,6,1,0,0,1
90,10028509,826,Kendriya Vidyalaya,girl,14,3,216,5,0,0,1,1
91,10042990,670,Navodaya Vidyalaya,girl,12,3,564,6,0,0,0,1
92,10028650,545,Govt Primary School,boy,11,3,946,6,0,1,1,0
93,10038351,552,Govt Primary School,girl,7,3,715,7,1,1,0,1
94,10036989,676,Govt Primary School,boy,8,4,998,3,1,0,0,0
95,10038175,690,Navodaya Vidyalaya,boy,11,4,814,2,0,0,0,0
96,10034344,717,Navodaya Vidyalaya,boy,9,3,276,2,1,1,1,0
97,10017381,601,Navodaya Vidyalaya,boy,13,3,549,7,1,0,1,0
98,10022256,899,Kendriya Vidyalaya,boy,14,2,316,6,0,1,1,0
99,10005431,561,Navodaya Vidyalaya,boy,11,4,474,3,0,0,1,0
100,10021383,830,Govt Primary School,boy,6,2,707,4,1,1,1,1
101,10041256,511,Govt Primary School,girl,9,2,339,4,0,0,0,1
102,10008692,662,Govt Primary School,girl,8,3,420,6,1,1,1,1
103,10042987,528,Govt Primary School,boy,11,2,921,4,1,0,1,1
104,10018738,420,Navodaya Vidyalaya,boy,11,3,599,6,1,0,0,0
105,10015031,472,Navodaya Vidyalaya,girl,10,4,459,0,0,1,1,1
106,10031388,756,Navodaya Vidyalaya,girl,14,4,656,1,0,1,0,1
107,10033516,347,Kendriya Vidyalaya,boy,8,3,688,0,1,0,1,0
108,10021862,663,Kendriya Vidyalaya,girl,8,3,467,7,0,1,1,0
109,10049864,201,Navodaya Vidyalaya,boy,9,2,437,7,0,0,1,1
110,10031719,616,Kendriya Vidyalaya,boy,12,3,734,0,0,1,1,1
111,10010874,742,Kendriya Vidyalaya,boy,13,4,227,6,1,0,1,0
112,10039607,608,Kendriya Vidyalaya,boy,9,3,699,0,1,1,1,1
113,10011786,743,Govt Primary School,boy,11,3,752,0,1,1,1,1
114,10041021,783,Navodaya Vidyalaya,boy,12,4,439,4,0,1,0,1
115,10042384,307,Kendriya Vidyalaya,boy,12,4,923,5,1,1,0,1
116,10007515,892,Kendriya Vidyalaya,girl,8,3,498,7,0,1,1,1
117,10000030,304,Kendriya Vidyalaya,girl,12,2,421,0,0,0,1,1
118,10046974,399,Govt Primary School,girl,6,3,662,1,0,0,0,0
119,10027058,932,Kendriya Vidyalaya,girl,10,2,408,1,0,1,1,1
120,10018958,449,Kendriya Vidyalaya,boy,7,3,853,2,0,0,0,1
121,10011453,662,Govt Primary School,boy,11,4,828,5,1,0,0,0
122,10032032,275,Navodaya Vidyalaya,boy,12,4,473,2,1,1,0,1
123,10027691,389,Govt Primary School,girl,13,2,349,5,1,0,1,0
124,10043828,413,Kendriya Vidyalaya,girl,8,4,294,7,1,1,0,1
125,10006700,227,Govt Primary School,girl,9,2,714,3,0,0,0,1
126,10042553,365,Govt Primary School,boy,6,4,686,0,0,0,1,1
127,10003756,999,Govt Primary School,girl,8,2,928,1,1,1,0,0
128,10024018,207,Kendriya Vidyalaya,boy,9,2,902,4,1,1,0,1
129,10049548,984,Govt Primary School,girl,8,3,549,5,1,0,0,1
130,10009138,510,Govt Primary School,boy,10,2,351,4,0,1,1,1
131,10030972,396,Govt Primary School,girl,8,3,917,2,1,0,1,0
132,10026887,228,Kendriya Vidyalaya,girl,11,4,481,3,0,1,0,1
133,10039517,788,Govt Primary School,boy,6,2,555,5,0,1,1,0
134,10027986,572,Govt Primary School,boy,11,2,949,1,0,1,1,1
135,10032220,214,Kendriya Vidyalaya,boy,7,4,661,3,0,1,1,0
136,10018190,423,Kendriya Vidyalaya,girl,11,4,371,0,0,0,1,1
137,10013161,571,Kendriya Vidyalaya,girl,14,3,395,0,0,1,1,1
138,10049296,773,Govt Primary School,boy,8,4,492,0,1,0,0,1
139,10019757,417,Navodaya Vidyalaya,girl,13,2,928,6,1,1,0,1
140,10043253,745,Navodaya Vidyalaya,girl,11,2,718,3,0,1,1,0
141,10025730,964,Kendriya Vidyalaya,boy,11,4,408,7,0,0,0,1
142,10015926,608,Govt Primary School,boy,12,4,571,5,1,1,0,1
143,10047881,697,Govt Primary School,girl,6,2,990,4,1,1,0,1
144,10031200,890,Navodaya Vidyalaya,boy,10,2,857,0,0,1,0,1
145,10018166,499,Govt Primary School,girl,8,4,965,2,1,0,1,1
146,10024232,931,Navodaya Vidyalaya,girl,9,4,838,1,0,1,1,1
147,10012877,600,Navodaya Vidyalaya,girl,10,3,984,0,0,0,0,0
148,10004741,466,Govt Primary School,boy,14,4,360,3,0,0,0,1
149,10012568,549,Govt Primary School,boy,14,3,751,1,1,0,1,0
150,10029242,531,Govt Primary School,boy,10,2,301,3,0,1,0,1
151,10011765,318,Navodaya Vidyalaya,girl,11,3,321,1,0,1,0,1
152,10000376,938,Govt Primary School,girl,12,3,759,6,1,0,1,1
153,10019303,856,Navodaya Vidyalaya,boy,13,3,617,3,1,0,1,0
154,10036132,778,Govt Primary School,boy,9,2,367,7,0,1,0,1
155,10031576,903,Govt Primary School,girl,14,2,804,6,0,1,1,0
156,10033086,651,Navodaya Vidyalaya,boy,7,3,812,3,0,1,0,0
157,10014980,935,Govt Primary School,girl,14,3,861,3,1,0,1,0
158,10014158,819,Navodaya Vidyalaya,girl,8,3,300,3,1,0,0,0
159,10008085,917,Govt Primary School,girl,8,4,371,2,1,1,0,0
160,10030305,859,Kendriya Vidyalaya,girl,9,3,583,1,1,0,0,1
161,10028073,728,Navodaya Vidyalaya,girl,6,3,418,3,1,1,0,1
162,10024721,389,Govt Primary School,boy,10,2,820,4,0,1,1,1
163,10017121,930,Govt Primary School,girl,12,3,282,2,1,0,1,0
164,10014479,669,Navodaya Vidyalaya,girl,10,4,854,4,1,0,1,0
165,10008334,870,Navodaya Vidyalaya,boy,11,2,750,4,1,0,1,1
166,10029210,504,Kendriya Vidyalaya,boy,13,2,228,0,0,1,1,0
167,10036825,823,Kendriya Vidyalaya,girl,12,3,871,0,0,1,1,0
168,10025745,491,Navodaya Vidyalaya,girl,8,4,958,5,0,1,1,1
169,10021664,899,Navodaya Vidyalaya,girl,7,4,276,3,0,0,0,0
170,10011189,709,Kendriya Vidyalaya,boy,6,3,687,5,0,1,1,1
171,10010620,731,Govt Primary School,girl,10,3,874,3,1,1,1,0
172,10046573,580,Kendriya Vidyalaya,boy,12,4,517,1,0,1,1,0
173,10036334,563,Kendriya Vidyalaya,boy,11,4,595,0,0,0,0,1
174,10018662,499,Govt Primary School,boy,14,4,739,7,1,1,1,0
175,10017934,709,Govt Primary School,boy,10,2,381,5,1,1,1,0
176,10023041,442,Navodaya Vidyalaya,girl,8,4,719,3,0,1,0,0
177,10025544,227,Govt Primary School,girl,8,3,887,5,1,0,1,0
178,10044530,659,Kendriya Vidyalaya,boy,7,2,518,7,1,1,1,1
179,10032294,494,Navodaya Vidyalaya,girl,9,2,401,5,0,1,1,1
180,10026726,894,Kendriya Vidyalaya,girl,6,4,934,0,1,1,1,1
181,10003811,316,Navodaya Vidyalaya,girl,8,2,483,7,0,0,1,0
182,10008443,426,Govt Primary School,boy,13,2,511,5,1,0,0,0
183,10001150,328,Kendriya Vidyalaya,girl,8,2,237,0,1,0,1,0
184,10046418,857,Govt Primary School,boy,7,2,383,2,1,0,1,1
185,10031385,232,Govt Primary School,girl,14,4,771,3,0,0,0,1
186,10007270,418,Govt Primary School,boy,8,2,329,1,1,0,1,0
187,10026939,320,Govt Primary School,girl,12,3,890,3,0,0,1,0
188,10026127,605,Navodaya Vidyalaya,girl,11,3,862,6,1,1,0,0
189,10012409,269,Navodaya Vidyalaya,boy,13,2,311,2,1,1,0,0
190,10017396,326,Kendriya Vidyalaya,girl,7,4,868,1,1,0,1,1
191,10029916,380,Govt Primary School,girl,9,3,659,5,1,0,0,1
192,10002179,426,Govt Primary School,girl,6,2,376,0,0,1,0,1
193,10009610,789,Govt Primary School,boy,11,4,215,0,0,0,0,1
194,10025630,334,Govt Primary School,boy,10,3,475,3,0,0,1,1
195,10026003,549,Navodaya Vidyalaya,boy,12,3,491,5,1,1,0,0
196,10022994,698,Govt Primary School,boy,10,3,552,0,1,0,1,1
197,10038967,654,Navodaya Vidyalaya,girl,11,4,602,7,0,1,1,1
198,10030743,524,Kendriya Vidyalaya,boy,7,2,913,0,1,1,1,1
199,10016358,542,Govt Primary School,boy,14,3,971,1,1,1,0,1
200,10020205,953,Govt Primary School,boy,7,2,987,3,0,0,1,1
201,10025888,721,Navodaya Vidyalaya,boy,10,2,818,5,1,0,1,1
202,10020544,690,Govt Primary School,boy,12,3,764,1,0,1,0,0
203,10044329,810,Navodaya Vidyalaya,boy,10,2,933,2,0,1,0,1
204,10015318,692,Govt Primary School,girl,14,4,964,6,0,0,1,0
205,10019043,921,Navodaya Vidyalaya,boy,12,4,778,2,0,1,0,1
206,10003954,430,Govt Primary School,boy,6,3,866,4,1,0,0,0
207,10027819,902,Navodaya Vidyalaya,girl,13,3,730,0,1,0,0,0
208,10043217,288,Govt Primary School,boy,14,3,723,0,0,0,1,1
209,10036233,573,Govt Primary School,boy,9,2,294,4,1,0,1,0
210,10020313,308,Govt Primary School,boy,14,2,217,3,0,0,0,1
211,10045128,541,Kendriya Vidyalaya,boy,12,2,872,0,0,0,0,1
212,10033192,557,Govt Primary School,boy,11,4,986,5,1,1,0,1
213,10026568,710,Govt Primary School,girl,13,4,248,6,1,0,0,0
214,10031372,894,Govt Primary School,girl,12,4,800,3,0,0,0,1
215,10026947,378,Kendriya Vidyalaya,boy,9,4,320,5,1,0,0,1
216,10026731,327,Kendriya Vidyalaya,boy,12,2,845,5,1,1,0,1
217,10020393,836,Govt Primary School,boy,14,3,372,3,1,1,0,0
218,10038941,973,Navodaya Vidyalaya,girl,11,2,570,0,1,0,0,0
219,10022791,902,Govt Primary School,boy,6,3,524,6,0,0,0,1
220,10005090,752,Govt Primary School,boy,6,4,684,5,0,0,0,0
221,10018326,500,Govt Primary School,girl,8,3,965,3,0,0,1,1
222,10011789,231,Navodaya Vidyalaya,boy,8,4,757,1,1,0,1,1
223,10047727,372,Govt Primary School,boy,7,3,935,2,0,0,1,0
224,10000589,972,Govt Primary School,boy,11,2,385,2,1,1,0,0
225,10040372,500,Kendriya Vidyalaya,boy,6,4,275,5,1,1,1,0
226,10045712,429,Govt Primary School,boy,6,3,777,0,1,1,0,1
227,10005539,917,Govt Primary School,girl,10,4,911,5,1,0,0,1
228,10039616,288,Kendriya Vidyalaya,girl,12,4,245,5,0,0,0,1
229,10004694,384,Kendriya Vidyalaya,boy,14,4,440,0,1,0,0,1
230,10030083,668,Kendriya Vidyalaya,girl,13,4,322,3,1,0,1,1
231,10025765,475,Govt Primary School,boy,14,3,410,7,1,0,0,0
232,10043433,588,Govt Primary School,boy,9,4,771,1,1,0,0,1
233,10027581,527,Govt Primary School,girl,11,2,331,1,1,1,1,0
234,10034329,279,Kendriya Vidyalaya,boy,8,3,569,5,0,1,1,0
235,10001595,895,Govt Primary School,girl,14,2,908,2,1,0,1,0
236,10038745,854,Kendriya Vidyalaya,boy,14,3,296,4,0,0,1,0
237,10043556,991,Govt Primary School,girl,10,3,764,0,0,1,1,0
238,10016469,866,Kendriya Vidyalaya,girl,8,4,626,7,1,0,1,0
239,10034693,351,Govt Primary School,girl,6,4,995,5,1,1,0,0
240,10034778,399,Govt Primary School,boy,10,4,997,1,1,0,0,1
241,10047060,759,Navodaya Vidyalaya,boy,6,4,230,6,0,1,0,1
242,10045005,676,Kendriya Vidyalaya,girl,8,4,847,4,1,1,0,1
243,10007462,353,Govt Primary School,boy,11,4,396,0,1,1,0,0
244,10036314,464,Kendriya Vidyalaya,boy,6,2,315,5,1,0,0,1
245,10010390,968,Navodaya Vidyalaya,boy,9,2,769,3,0,1,0,1
246,10025833,864,Govt Primary School,girl,6,4,270,7,1,0,1,0
247,10047230,557,Kendriya Vidyalaya,boy,12,2,582,0,0,1,0,1
248,10031292,944,Govt Primary School,girl,6,3,557,3,1,1,1,1
249,10026007,494,Kendriya Vidyalaya,boy,11,3,336,4,0,0,1,0
250,10022358,506,Kendriya Vidyalaya,boy,8,3,666,2,1,0,0,1
251,10026034,632,Kendriya Vidyalaya,girl,11,2,848,0,0,1,1,0
252,10039287,802,Navodaya Vidyalaya,girl,12,2,749,0,0,0,0,0
253,10017487,511,Govt Primary School,girl,7,3,263,7,0,1,1,1
254,10045707,314,Kendriya Vidyalaya,boy,10,2,369,3,1,0,0,1
255,10025200,711,Navodaya Vidyalaya,boy,9,2,304,1,0,0,1,1
256,10028135,950,Navodaya Vidyalaya,boy,12,2,529,1,1,0,1,0
257,10042628,223,Govt Primary School,boy,8,2,373,2,0,0,1,0
258,10025856,792,Kendriya Vidyalaya,girl,9,4,372,5,0,1,1,1
259,10026522,602,Govt Primary School,girl,12,4,678,7,0,0,1,0
260,10008131,593,Kendriya Vidyalaya,boy,7,2,254,7,1,0,0,0
261,10049010,655,Kendriya Vidyalaya,boy,9,2,628,7,1,0,0,1
262,10027852,224,Navodaya Vidyalaya,girl,9,2,635,3,0,1,0,0
263,10028507,887,Govt Primary School,girl,6,4,200,3,0,0,0,0
264,10043571,812,Govt Primary School,girl,12,3,781,0,0,1,1,0
265,10024937,268,Navodaya Vidyalaya,boy,7,4,436,0,1,1,0,0
266,10041896,297,Navodaya Vidyalaya,girl,9,4,554,3,0,0,0,0
267,10039415,660,Govt Primary School,boy,6,2,274,1,0,0,1,0
268,10049305,782,Govt Primary School,boy,14,2,710,2,0,0,1,0
269,10007486,806,Navodaya Vidyalaya,girl,11,2,288,2,0,0,1,1
270,10039158,458,Kendriya Vidyalaya,girl,11,2,754,0,0,0,0,0
271,10008977,450,Navodaya Vidyalaya,boy,11,3,568,1,0,1,0,1
272,10037803,687,Kendriya Vidyalaya,boy,9,3,820,3,0,1,0,1
273,10049704,831,Kendriya Vidyalaya,girl,14,3,215,6,0,0,0,1
274,10007926,995,Govt Primary School,boy,9,3,540,6,0,0,0,1
275,10048110,322,Kendriya Vidyalaya,boy,7,3,669,2,1,1,1,1
276,10030602,716,Navodaya Vidyalaya,girl,13,3,582,6,0,0,1,0
277,10014769,672,Govt Primary School,boy,7,2,207,2,0,0,0,0
278,10049819,302,Govt Primary School,girl,7,2,697,1,0,0,0,1
279,10041970,481,Govt Primary School,boy,13,3,247,0,0,1,1,1
280,10035214,647,Govt Primary School,boy,13,2,691,7,1,0,0,1
281,10020309,312,Govt Primary School,boy,6,2,579,0,0,0,1,0
282,10015592,519,Navodaya Vidyalaya,boy,11,4,934,4,0,1,0,1
283,10023585,890,Kendriya Vidyalaya,boy,11,3,928,4,1,0,1,1
284,10016860,868,Govt Primary School,boy,14,3,702,1,0,0,1,1
285,10034626,578,Govt Primary School,girl,7,4,985,1,1,0,1,1
286,10039087,564,Govt Primary School,boy,14,4,591,6,1,1,1,0
287,10030707,902,Navodaya Vidyalaya,boy,13,3,282,7,0,1,0,0
288,10000846,554,Govt Primary School,girl,13,2,841,0,1,1,0,1
289,10049852,205,Navodaya Vidyalaya,girl,13,4,699,2,0,0,0,0
290,10046113,882,Navodaya Vidyalaya,boy,14,2,719,7,1,0,0,1
291,10020828,591,Kendriya Vidyalaya,boy,12,2,558,1,0,1,0,0
292,10038129,835,Navodaya Vidyalaya,girl,6,2,237,3,0,0,1,0
293,10048431,237,Govt Primary School,boy,13,3,454,2,0,1,0,0
294,10036797,627,Navodaya Vidyalaya,girl,11,2,489,3,1,1,0,0
295,10018456,265,Govt Primary School,boy,7,3,992,3,0,0,0,1
296,10007475,387,Govt Primary School,boy,8,3,604,6,0,0,0,0
297,10005507,538,Govt Primary School,girl,6,3,213,4,0,0,0,0
298,10006526,373,Navodaya Vidyalaya,girl,11,4,546,2,1,1,0,1
299,10017735,294,Govt Primary School,boy,7,4,226,4,1,1,0,1
300,10035606,788,Govt Primary School,boy,13,4,620,3,0,1,1,1
301,10017746,802,Govt Primary School,girl,10,4,677,1,1,0,0,0
302,10032675,555,Navodaya Vidyalaya,girl,13,4,771,1,0,0,0,0
303,10005866,831,Govt Primary School,boy,8,3,246,6,0,0,1,1
304,10032002,395,Govt Primary School,girl,13,2,577,7,0,1,0,1
305,10033076,972,Govt Primary School,boy,12,4,442,5,1,1,0,1
306,10032315,714,Govt Primary School,boy,14,3,207,6,1,1,1,0
307,10026922,391,Govt Primary School,boy,10,3,694,1,1,0,0,0
308,10009885,626,Kendriya Vidyalaya,boy,12,3,794,6,1,1,1,0
309,10048425,597,Govt Primary School,boy,14,4,475,7,0,0,1,0
310,10043760,628,Kendriya Vidyalaya,boy,6,3,546,2,1,0,0,1
311,10020481,626,Govt Primary School,girl,10,3,303,7,0,1,0,0
312,10009183,400,Kendriya Vidyalaya,boy,10,4,371,5,0,0,0,1
313,10043880,624,Govt Primary School,boy,8,2,206,4,1,1,0,1
314,10034948,311,Kendriya Vidyalaya,girl,8,4,239,3,0,0,1,0
315,10000156,997,Navodaya Vidyalaya,boy,13,2,596,4,1,1,0,0
316,10013925,303,Navodaya Vidyalaya,boy,12,3,349,3,0,0,0,1
317,10025139,418,Govt Primary School,boy,11,2,732,7,1,0,1,0
318,10031088,284,Navodaya Vidyalaya,boy,8,4,467,3,0,0,0,1
319,10021556,611,Navodaya Vidyalaya,girl,9,3,801,3,0,1,1,1
320,10044081,466,Govt Primary School,boy,10,2,859,7,1,1,1,1
321,10026541,498,Navodaya Vidyalaya,girl,9,4,563,5,0,1,0,1
322,10019656,415,Govt Primary School,girl,8,3,473,1,1,1,1,1
323,10030161,905,Govt Primary School,boy,10,3,384,2,0,1,0,0
324,10045215,642,Govt Primary School,girl,12,3,229,0,1,1,1,0
325,10035923,341,Govt Primary School,boy,11,4,489,2,0,0,1,1
326,10030177,836,Govt Primary School,boy,12,4,500,5,0,0,1,1
327,10046335,200,Govt Primary School,boy,7,2,752,6,1,0,0,0
328,10005479,613,Govt Primary School,girl,6,2,328,1,0,0,1,1
329,10012504,787,Kendriya Vidyalaya,boy,13,3,747,2,1,0,1,1
330,10010957,926,Kendriya Vidyalaya,boy,7,4,417,0,1,1,1,1
331,10015670,508,Govt Primary School,boy,13,3,810,2,1,1,0,0
332,10000269,535,Navodaya Vidyalaya,girl,11,2,634,3,1,0,0,1
333,10002007,857,Kendriya Vidyalaya,boy,9,2,757,2,1,1,0,0
334,10023301,370,Kendriya Vidyalaya,girl,6,3,406,5,0,0,1,0
335,10008262,612,Navodaya Vidyalaya,girl,11,3,712,2,1,0,0,1
336,10046536,527,Govt Primary School,boy,6,4,505,3,0,0,1,1
337,10037965,786,Kendriya Vidyalaya,girl,11,3,673,3,0,1,1,0
338,10018977,455,Govt Primary School,boy,14,2,338,4,1,1,1,1
339,10011483,814,Navodaya Vidyalaya,girl,8,3,207,2,0,0,0,1
340,10031516,316,Kendriya Vidyalaya,girl,12,3,322,1,0,1,0,1
341,10021860,545,Kendriya Vidyalaya,girl,11,2,584,5,1,1,0,1
342,10008596,443,Govt Primary School,boy,13,4,763,6,0,0,1,0
343,10012106,726,Navodaya Vidyalaya,girl,6,4,837,5,0,1,1,1
344,10030786,318,Govt Primary School,boy,8,3,310,0,0,0,1,0
345,10008807,811,Govt Primary School,girl,9,3,775,3,0,0,1,1
346,10035481,466,Govt Primary School,girl,11,4,278,7,0,1,0,0
347,10007242,963,Kendriya Vidyalaya,girl,7,4,590,6,1,0,1,1
348,10015549,206,Kendriya Vidyalaya,boy,7,4,471,2,0,0,1,0
349,10048300,745,Kendriya Vidyalaya,girl,6,2,249,7,1,0,1,0
350,10008030,444,Govt Primary School,boy,12,3,878,6,0,1,1,1
351,10026903,238,Navodaya Vidyalaya,boy,14,2,880,4,0,0,0,0
352,10006659,214,Navodaya Vidyalaya,boy,13,2,585,0,1,1,0,0
353,10036303,751,Navodaya Vidyalaya,girl,13,4,617,0,0,0,1,1
354,10031737,734,Navodaya Vidyalaya,boy,6,4,469,3,0,0,0,1
355,10043492,382,Govt Primary School,girl,7,2,758,4,1,1,1,0
356,10001751,436,Govt Primary School,boy,7,4,402,4,1,0,1,1
357,10031270,308,Navodaya Vidyalaya,girl,8,4,876,0,0,1,0,0
358,10023611,634,Navodaya Vidyalaya,boy,9,2,701,6,0,1,0,1
359,10014135,335,Govt Primary School,boy,11,2,765,2,1,1,0,0
360,10017883,404,Govt Primary School,boy,7,4,667,4,1,1,0,1
361,10023141,487,Navodaya Vidyalaya,boy,6,4,497,7,1,0,1,1
362,10020897,937,Kendriya Vidyalaya,girl,6,3,644,3,0,1,0,1
363,10033706,389,Govt Primary School,girl,9,2,911,6,0,1,1,0
364,10015303,604,Kendriya Vidyalaya,girl,9,4,280,0,1,1,0,1
365,10018110,423,Govt Primary School,boy,11,3,852,4,0,0,1,1
366,10015713,589,Navodaya Vidyalaya,girl,14,4,738,5,1,0,0,1
367,10025676,771,Kendriya Vidyalaya,girl,11,2,559,7,1,1,0,1
